PrimarySchoolHtgSetpDefault,16.0000017,21.0000017,60,15,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,21.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017,16.0000017
PrimarySchoolHtgSetpSummerDesignDay,16,16,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
PrimarySchoolHtgSetpWinterDesignDay,21,21,96,24,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
PrimarySchoolClgSetpDefault,23.9999983,26.99999915,96,24,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,23.9999983,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915,26.99999915
PrimarySchoolClgSetpSummerDesignDay,24,24,96,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
PrimarySchoolClgSetpWinterDesignDay,27,27,96,24,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
PrimarySchoolBldgEquipDefault,0.35,0.95,36,9,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
PrimarySchoolBldgEquipSummerDesignDay,0.35,0.95,36,9,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
PrimarySchoolBldgEquipWinterDesignDay,0.35,0.35,0,0,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
PrimarySchoolBldgEquipWkdyDay,0.25,0.5,36,9,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
