schedule,min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A
PrimarySchoolHtgSetpDefault,PrimarySchoolHtgSetpDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,PrimarySchoolHtgSetpDefault,PrimarySchoolHtgSetpDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,PrimarySchoolHtgSetpDefault,PrimarySchoolHtgSetpDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
PrimarySchoolClgSetpDefault,PrimarySchoolClgSetpDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,PrimarySchoolClgSetpDefault,PrimarySchoolClgSetpDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,PrimarySchoolClgSetpDefault,PrimarySchoolClgSetpDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
PrimarySchoolBldgEquipDefault,PrimarySchoolBldgEquipDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,PrimarySchoolBldgEquipDefault,PrimarySchoolBldgEquipDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,PrimarySchoolBldgEquipDefault,PrimarySchoolBldgEquipDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
PrimarySchoolBldgEquipWkdyDay,PrimarySchoolBldgEquipWkdyDay,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,PrimarySchoolBldgEquipWkdyDay,PrimarySchoolBldgEquipWkdyDay,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,PrimarySchoolBldgEquipWkdyDay,PrimarySchoolBldgEquipWkdyDay,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
PrimarySchoolBldgEquipWkdyDay1,PrimarySchoolBldgEquipWkdyDay1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,PrimarySchoolBldgEquipWkdyDay1,PrimarySchoolBldgEquipWkdyDay1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,PrimarySchoolBldgEquipWkdyDay1,PrimarySchoolBldgEquipWkdyDay1,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
PrimarySchoolBldgLightDefault,PrimarySchoolBldgLightDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,PrimarySchoolBldgLightDefault,PrimarySchoolBldgLightDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,PrimarySchoolBldgLightDefault,PrimarySchoolBldgLightDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
PrimarySchoolBldgOccDefault,PrimarySchoolBldgOccDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,PrimarySchoolBldgOccDefault,PrimarySchoolBldgOccDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,PrimarySchoolBldgOccDefault,PrimarySchoolBldgOccDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
SchoolPrimaryBLDG_SWH_SCHDefault,SchoolPrimaryBLDG_SWH_SCHDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,SchoolPrimaryBLDG_SWH_SCHDefault,SchoolPrimaryBLDG_SWH_SCHDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,SchoolPrimaryBLDG_SWH_SCHDefault,SchoolPrimaryBLDG_SWH_SCHDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
PrimarySchoolPSZ-ACOperationDefault,PrimarySchoolPSZ-ACOperationDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,PrimarySchoolPSZ-ACOperationDefault,PrimarySchoolPSZ-ACOperationDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,PrimarySchoolPSZ-ACOperationDefault,PrimarySchoolPSZ-ACOperationDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
PrimarySchoolVAVOperationDefault,PrimarySchoolVAVOperationDefault,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,PrimarySchoolVAVOperationDefault,PrimarySchoolVAVOperationDefault,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,PrimarySchoolVAVOperationDefault,PrimarySchoolVAVOperationDefault,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
